q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
-0.15891,-0.053173,0.98585,0.0040849,3.1153,0.31824,-0.11198,0.0016195,0.00075129,-0.0052157
-0.16001,-0.05123,0.98563,0.017684,3.0876,0.31898,-0.11255,0.0016291,0.00072304,-0.0052172
-0.161,-0.049255,0.98523,0.031284,3.0599,0.31957,-0.11308,0.0016384,0.00069462,-0.0052187
-0.16189,-0.047252,0.98466,0.044881,3.0321,0.31999,-0.11358,0.0016473,0.00066604,-0.0052201
-0.16267,-0.045222,0.98391,0.058473,3.0044,0.32027,-0.11405,0.0016558,0.0006373,-0.0052214
-0.16336,-0.043167,0.98298,0.072058,2.9767,0.32038,-0.11447,0.0016639,0.00060841,-0.0052227
-0.16394,-0.041091,0.98189,0.085632,2.949,0.32035,-0.11485,0.0016717,0.00057937,-0.005224
-0.16441,-0.038995,0.98062,0.099193,2.9214,0.32015,-0.11519,0.001679,0.00055019,-0.0052251
-0.16478,-0.036882,0.97917,0.11274,2.8937,0.31981,-0.11548,0.001686,0.00052088,-0.0052263
-0.16505,-0.034754,0.97755,0.12626,2.866,0.31931,-0.11572,0.0016926,0.00049145,-0.0052273
-0.16521,-0.032613,0.97576,0.13977,2.8384,0.31865,-0.11591,0.0016989,0.0004619,-0.0052283
-0.16526,-0.030462,0.97379,0.15325,2.8108,0.31785,-0.11604,0.0017047,0.00043224,-0.0052293
-0.16521,-0.028303,0.97166,0.1667,2.7832,0.31689,-0.11611,0.0017102,0.00040247,-0.0052302
-0.16505,-0.026139,0.96934,0.18013,2.7556,0.31579,-0.11613,0.0017152,0.00037261,-0.005231
-0.16479,-0.023972,0.96686,0.19352,2.7281,0.31453,-0.11608,0.0017199,0.00034266,-0.0052318
-0.16442,-0.021805,0.96421,0.20688,2.7006,0.31313,-0.11596,0.0017242,0.00031262,-0.0052325
-0.16394,-0.019639,0.96138,0.2202,2.6731,0.31158,-0.11578,0.0017281,0.00028252,-0.0052331
-0.16336,-0.017477,0.95838,0.23348,2.6456,0.30989,-0.11553,0.0017316,0.00025234,-0.0052337
-0.16267,-0.015322,0.95522,0.24671,2.6182,0.30806,-0.1152,0.0017347,0.0002221,-0.0052342
-0.16188,-0.013176,0.95188,0.2599,2.5908,0.30608,-0.11481,0.0017374,0.00019181,-0.0052347
-0.16098,-0.011042,0.94837,0.27304,2.5634,0.30397,-0.11433,0.0017397,0.00016147,-0.0052351
-0.15998,-0.0089207,0.9447,0.28613,2.5361,0.30172,-0.11378,0.0017416,0.00013109,-0.0052354
-0.15887,-0.006816,0.94086,0.29917,2.5088,0.29933,-0.11315,0.0017431,0.00010069,-0.0052356
-0.15767,-0.0047297,0.93685,0.31215,2.4815,0.2968,-0.11244,0.0017443,7.0253e-05,-0.0052358
-0.15636,-0.0026641,0.93267,0.32507,2.4543,0.29415,-0.11164,0.001745,3.9804e-05,-0.0052359
-0.15495,-0.00062162,0.92833,0.33793,2.4271,0.29137,-0.11076,0.0017453,9.345e-06,-0.005236
-0.15344,0.0013955,0.92382,0.35073,2.3999,0.28846,-0.1098,0.0017452,-2.1116e-05,-0.005236
-0.15183,0.0033851,0.91915,0.36346,2.3728,0.28542,-0.10875,0.0017448,-5.1573e-05,-0.0052359
-0.15012,0.0053448,0.91432,0.37612,2.3458,0.28226,-0.10761,0.0017439,-8.2016e-05,-0.0052357
-0.14831,0.0072726,0.90932,0.3887,2.3187,0.27898,-0.10638,0.0017426,-0.00011244,-0.0052355
-0.14641,0.0091661,0.90416,0.40121,2.2917,0.27559,-0.10506,0.0017409,-0.00014284,-0.0052353
-0.14441,0.011023,0.89884,0.41365,2.2648,0.27207,-0.10365,0.0017389,-0.0001732,-0.0052349
-0.14232,0.012842,0.89336,0.42601,2.2379,0.26845,-0.10215,0.0017364,-0.00020352,-0.0052345
-0.14014,0.01462,0.88773,0.43828,2.211,0.26471,-0.10055,0.0017335,-0.00023379,-0.005234
-0.13787,0.016356,0.88193,0.45047,2.1842,0.26087,-0.098863,0.0017303,-0.00026401,-0.0052335
-0.13551,0.018047,0.87598,0.46257,2.1574,0.25692,-0.097081,0.0017266,-0.00029416,-0.0052329
-0.13306,0.019692,0.86987,0.47458,2.1306,0.25287,-0.095205,0.0017226,-0.00032424,-0.0052322
-0.13053,0.021288,0.86361,0.4865,2.1039,0.24872,-0.093235,0.0017182,-0.00035424,-0.0052315
-0.12791,0.022835,0.85719,0.49833,2.0772,0.24447,-0.091169,0.0017133,-0.00038416,-0.0052307
-0.12521,0.024329,0.85063,0.51006,2.0506,0.24013,-0.089009,0.0017081,-0.00041399,-0.0052298
-0.12243,0.025769,0.84391,0.52169,2.0239,0.2357,-0.086753,0.0017025,-0.00044371,-0.0052289
-0.11957,0.027154,0.83704,0.53322,1.9974,0.23118,-0.084402,0.0016965,-0.00047333,-0.005228
