x,y,z,vx,vy,vz
16002138.8986,39011358.6162,22217.6242473,-2844.30636907,1167.42615997,-2.38924896401
15987916.3035,39017193.1541,22205.6765261,-2844.731587,1166.38898955,-2.38983944701
15973691.5833,39023022.5058,22193.7258533,-2845.1564267,1165.35166434,-2.39042961221
15959464.7399,39028846.6705,22181.7722305,-2845.58088811,1164.31418447,-2.39101945953
15945235.7751,39034665.6474,22169.8156593,-2846.00497119,1163.27655008,-2.3916089889
15931004.6908,39040479.4358,22157.8561412,-2846.42867587,1162.23876131,-2.39219820023
15916771.489,39046288.0348,22145.8936778,-2846.85200209,1161.2008183,-2.39278709344
15902536.1714,39052091.4437,22133.9282708,-2847.27494982,1160.16272118,-2.39337566847
15888298.7401,39057889.6617,22121.9599216,-2847.69751897,1159.1244701,-2.39396392522
15874059.1969,39063682.6881,22109.988632,-2848.11970951,1158.08606519,-2.39455186362
15859817.5436,39069470.5221,22098.0144035,-2848.54152137,1157.04750658,-2.3951394836
15845573.7823,39075253.163,22086.0372377,-2848.9629545,1156.00879443,-2.39572678508
15831327.9147,39081030.6098,22074.0571362,-2849.38400884,1154.96992885,-2.39631376797
15817079.9428,39086802.862,22062.0741006,-2849.80468434,1153.93091001,-2.39690043221
15802829.8685,39092569.9187,22050.0881324,-2850.22498094,1152.89173802,-2.39748677771
15788577.6937,39098331.7791,22038.0992333,-2850.64489858,1151.85241303,-2.39807280439
15774323.4202,39104088.4425,22026.1074049,-2851.06443721,1150.81293519,-2.39865851218
15760067.0499,39109839.9082,22014.1126487,-2851.48359678,1149.77330461,-2.399243901
15745808.5848,39115586.1753,22002.1149664,-2851.90237723,1148.73352146,-2.39982897077
15731548.0268,39121327.2432,21990.1143596,-2852.3207785,1147.69358585,-2.40041372142
15717285.3777,39127063.1109,21978.1108297,-2852.73880053,1146.65349794,-2.40099815286
15703020.6394,39132793.7779,21966.1043786,-2853.15644328,1145.61325786,-2.40158226502
15688753.8139,39138519.2433,21954.0950076,-2853.57370669,1144.57286574,-2.40216605782
15674484.903,39144239.5063,21942.0827185,-2853.9905907,1143.53232173,-2.40274953119
15660213.9086,39149954.5662,21930.0675129,-2854.40709525,1142.49162597,-2.40333268504
15645940.8326,39155664.4223,21918.0493922,-2854.82322029,1141.45077858,-2.4039155193
15631665.677,39161369.0738,21906.0283582,-2855.23896577,1140.40977972,-2.4044980339
15617388.4436,39167068.5198,21894.0044124,-2855.65433164,1139.36862952,-2.40508022875
15603109.1343,39172762.7598,21881.9775564,-2856.06931782,1138.32732812,-2.40566210377
15588827.7511,39178451.7929,21869.9477919,-2856.48392428,1137.28587565,-2.4062436589
15574544.2957,39184135.6183,21857.9151204,-2856.89815096,1136.24427226,-2.40682489405
15560258.7702,39189814.2353,21845.8795435,-2857.31199779,1135.20251808,-2.40740580915
15545971.1764,39195487.6432,21833.8410628,-2857.72546474,1134.16061326,-2.40798640411
15531681.5162,39201155.8412,21821.79968,-2858.13855173,1133.11855792,-2.40856667887
15517389.7915,39206818.8286,21809.7553966,-2858.55125872,1132.07635222,-2.40914663334
15503096.0042,39212476.6045,21797.7082142,-2858.96358565,1131.03399628,-2.40972626746
15488800.1563,39218129.1683,21785.6581344,-2859.37553247,1129.99149025,-2.41030558113
15474502.2495,39223776.5192,21773.6051589,-2859.78709913,1128.94883427,-2.41088457428
15460202.2859,39229418.6564,21761.5492892,-2860.19828556,1127.90602846,-2.41146324685
15445900.2673,39235055.5792,21749.490527,-2860.60909171,1126.86307298,-2.41204159874
15431596.1956,39240687.2869,21737.4288738,-2861.01951754,1125.81996797,-2.41261962989
15417290.0728,39246313.7786,21725.3643312,-2861.42956298,1124.77671355,-2.41319734022
15402981.9006,39251935.0537,21713.2969009,-2861.83922798,1123.73330987,-2.41377472965
15388671.6811,39257551.1115,21701.2265844,-2862.24851249,1122.68975707,-2.4143517981
15374359.4162,39263161.9511,21689.1533835,-2862.65741645,1121.64605528,-2.4149285455
15360045.1076,39268767.5718,21677.0772995,-2863.0659398,1120.60220465,-2.41550497177
15345728.7574,39274367.9729,21664.9983343,-2863.4740825,1119.55820531,-2.41608107683
15331410.3674,39279963.1536,21652.9164893,-2863.8818445,1118.51405741,-2.41665686062
15317089.9396,39285553.1132,21640.8317662,-2864.28922572,1117.46976108,-2.41723232304
15302767.4758,39291137.8509,21628.7441666,-2864.69622613,1116.42531645,-2.41780746403
15288442.978,39296717.3661,21616.6536921,-2865.10284567,1115.38072368,-2.41838228351
15274116.448,39302291.6579,21604.5603443,-2865.50908428,1114.33598289,-2.41895678141
15259787.8877,39307860.7257,21592.4641248,-2865.91494192,1113.29109424,-2.41953095764
15245457.2992,39313424.5686,21580.3650353,-2866.32041852,1112.24605784,-2.42010481213
15231124.6842,39318983.186,21568.2630772,-2866.72551403,1111.20087386,-2.4206783448
15216790.0447,39324536.5771,21556.1582523,-2867.1302284,1110.15554241,-2.42125155559
15202453.3825,39330084.7412,21544.0505622,-2867.53456158,1109.11006365,-2.4218244444
15188114.6997,39335627.6775,21531.9400084,-2867.93851351,1108.06443771,-2.42239701118
15173773.998,39341165.3853,21519.8265926,-2868.34208413,1107.01866474,-2.42296925583
15159431.2795,39346697.8639,21507.7103164,-2868.74527341,1105.97274486,-2.42354117829
15145086.5459,39352225.1125,21495.5911814,-2869.14808127,1104.92667822,-2.42411277847
15130739.7993,39357747.1305,21483.4691892,-2869.55050767,1103.88046496,-2.42468405631
15116391.0415,39363263.9169,21471.3443414,-2869.95255256,1102.83410522,-2.42525501173
15102040.2744,39368775.4713,21459.2166396,-2870.35421588,1101.78759913,-2.42582564465
15087687.5,39374281.7927,21447.0860855,-2870.75549758,1100.74094684,-2.42639595499
15073332.7201,39379782.8805,21434.9526806,-2871.1563976,1099.69414848,-2.42696594269
15058975.9366,39385278.7339,21422.8164266,-2871.5569159,1098.6472042,-2.42753560765
15044617.1516,39390769.3523,21410.677325,-2871.95705241,1097.60011413,-2.42810494982
15030256.3668,39396254.7348,21398.5353776,-2872.3568071,1096.55287841,-2.42867396911
15015893.5841,39401734.8808,21386.3905859,-2872.75617989,1095.50549719,-2.42924266545
15001528.8056,39407209.7896,21374.2429515,-2873.15517074,1094.4579706,-2.42981103876
14987162.0331,39412679.4603,21362.092476,-2873.55377961,1093.41029877,-2.43037908897
14972793.2684,39418143.8923,21349.9391611,-2873.95200643,1092.36248186,-2.430946816
14958422.5136,39423603.0849,21337.7830084,-2874.34985114,1091.31451999,-2.43151421977
14944049.7706,39429057.0373,21325.6240195,-2874.74731371,1090.26641332,-2.43208130022
14929675.0411,39434505.7488,21313.462196,-2875.14439408,1089.21816197,-2.43264805726
14915298.3273,39439949.2186,21301.2975394,-2875.54109219,1088.16976609,-2.43321449083
14900919.6308,39445387.4462,21289.1300516,-2875.93740799,1087.12122581,-2.43378060084
14886538.9538,39450820.4307,21276.959734,-2876.33334143,1086.07254128,-2.43434638722
14872156.2981,39456248.1714,21264.7865883,-2876.72889246,1085.02371264,-2.43491184989
14857771.6655,39461670.6675,21252.610616,-2877.12406102,1083.97474002,-2.43547698879
14843385.0581,39467087.9185,21240.4318189,-2877.51884706,1082.92562356,-2.43604180383
14828996.4777,39472499.9235,21228.2501985,-2877.91325053,1081.87636341,-2.43660629494
14814605.9262,39477906.6819,21216.0657565,-2878.30727138,1080.82695971,-2.43717046205
14800213.4056,39483308.1929,21203.8784944,-2878.70090956,1079.77741258,-2.43773430508
14785818.9178,39488704.4558,21191.688414,-2879.094165,1078.72772218,-2.43829782395
14771422.4646,39494095.4699,21179.4955167,-2879.48703767,1077.67788864,-2.4388610186
14757024.048,39499481.2344,21167.2998043,-2879.87952751,1076.6279121,-2.43942388894
14742623.67,39504861.7488,21155.1012784,-2880.27163446,1075.5777927,-2.4399864349
