Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
1748.61470047,26469.061552,0.6838433, 68.6032,266.0700,257.6100,194.0232
1755.60721803,26468.889146,0.6836470, 68.5918,265.4495,257.2944,228.8618
1763.09936783,26468.242299,0.6834416, 68.5880,264.7537,256.9844,266.3979
1768.09416975,26467.232506,0.6834016, 68.5822,264.3096,256.7633,291.5909
1772.58934979,26466.512988,0.6834147, 68.5762,263.8877,256.5819,314.2926
1794.56483860,26464.673913,0.6828492, 68.5613,261.8376,255.6086, 66.5875
1798.06056300,26464.376571,0.6828952, 68.5541,261.5124,255.4625, 84.3557
1804.05304224,26464.550742,0.6826669, 68.5491,260.9458,255.2163,114.5960
1811.04375562,26465.780318,0.6825175, 68.5355,260.3131,254.9055,149.2891
1816.53596340,26466.950209,0.6823101, 68.5320,259.7950,254.6776,175.8943
1832.51169385,26470.780322,0.6817644, 68.5130,258.3248,254.0108,250.3744
1836.50470856,26471.347013,0.6816496, 68.5065,257.9695,253.8350,267.9612
1838.50139356,26471.638191,0.6816185, 68.5035,257.7848,253.7538,276.8393
1851.97738708,26476.039799,0.6811336, 68.5017,256.5588,253.1768,335.0724
1860.96003468,26476.581158,0.6807568, 68.5020,255.7120,252.7748, 12.8546
1866.44906032,26475.471091,0.6805926, 68.5005,255.2217,252.5507, 35.8499
1870.44094088,26472.660093,0.6804013, 68.5044,254.8594,252.3746, 52.5781
1885.90804331,26468.669685,0.6800378, 68.5021,253.4837,251.6865,117.3841
1888.90132966,26468.306889,0.6799467, 68.4997,253.2266,251.5411,129.8638
1901.37263537,26467.915355,0.6797878, 68.4899,252.1255,250.9687,181.5884
1906.85978324,26468.544619,0.6798512, 68.4765,251.6401,250.7276,204.0907
1909.85239631,26468.988673,0.6798149, 68.4716,251.3679,250.6018,216.0188
1922.82026752,26471.583044,0.6796702, 68.4455,250.2165,250.0227,266.8203
1926.81016952,26472.387199,0.6796086, 68.4406,249.8628,249.8459,281.9619
1929.80252140,26472.850944,0.6796334, 68.4326,249.6004,249.7152,293.1584
1937.78194899,26474.464440,0.6796057, 68.4140,248.8735,249.3946,322.4799
