Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
1755.60721803,26517.171733,0.6835246, 68.6606,266.9465,257.1940,352.7233
1763.09936783,26512.552803,0.6832518, 68.6557,266.2226,256.8479, 19.6782
1768.09416975,26505.629678,0.6831387, 68.6472,265.7835,256.6120, 37.7760
1772.58934979,26503.826946,0.6831935, 68.6367,265.3662,256.4189, 53.9635
1794.56483860,26505.417616,0.6827105, 68.5989,263.3598,255.4542,131.4821
1798.06056300,26506.018722,0.6827565, 68.5895,263.0365,255.3108,143.2753
1804.05304224,26507.044787,0.6825320, 68.5816,262.4715,255.0707,163.1117
1811.04375562,26508.562901,0.6823808, 68.5661,261.8409,254.7650,185.5349
1816.53596340,26509.712111,0.6821715, 68.5617,261.3241,254.5420,202.4842
1832.51169385,26512.770117,0.6816260, 68.5421,259.8591,253.8817,249.1668
1836.50470856,26513.235357,0.6815123, 68.5353,259.5054,253.7057,259.8882
1838.50139356,26513.522724,0.6814849, 68.5319,259.3216,253.6245,265.3417
1851.97738708,26514.524658,0.6810244, 68.5242,258.1015,253.0592,300.4102
1860.96003468,26515.209044,0.6805221, 68.5237,257.2885,252.6780,322.5057
1866.44906032,26518.827659,0.6804404, 68.5187,256.7992,252.4337,335.7398
1870.44094088,26531.247684,0.6803916, 68.5225,256.4374,252.2550,345.2726
1885.90804331,26522.456683,0.6799411, 68.5143,255.0333,251.5968, 21.4964
1888.90132966,26519.625056,0.6798017, 68.5125,254.7777,251.4566, 28.3904
1901.37263537,26512.997102,0.6795714, 68.5059,253.6794,250.9026, 57.1848
1906.85978324,26511.413303,0.6796364, 68.4966,253.1961,250.6676, 70.0388
1909.85239631,26510.585444,0.6795976, 68.4943,252.9244,250.5456, 76.8777
1922.82026752,26507.431146,0.6794341, 68.4822,251.7784,249.9731,107.3811
1926.81016952,26506.561434,0.6793668, 68.4817,251.4264,249.7950,116.9032
1929.80252140,26505.969052,0.6793894, 68.4770,251.1663,249.6617,124.0792
1937.78194899,26504.375474,0.6794079, 68.4650,250.4464,249.3334,143.4252
1938.77941515,26504.188619,0.6793791, 68.4648,250.3566,249.2906,145.9016
1948.75287465,26503.057917,0.6793045, 68.4496,249.4724,248.8492,170.1214
1948.75291019,26503.057854,0.6793045, 68.4496,249.4724,248.8492,170.1471
1951.74485262,26502.840033,0.6792500, 68.4496,249.2018,248.7192,177.4086
1952.74204976,26502.800100,0.6792335, 68.4492,249.1133,248.6744,179.7463
1952.74206592,26502.800073,0.6792335, 68.4492,249.1133,248.6744,179.7580
1956.73118843,26502.787866,0.6792347, 68.4429,248.7627,248.4970,189.3563
1956.73120506,26502.787827,0.6792347, 68.4429,248.7627,248.4970,189.3683
1957.72861437,26502.812789,0.6792479, 68.4405,248.6743,248.4545,191.8610
2015.06376500,26510.665338,0.6787078, 68.3790,243.5621,246.0098,314.7189
2019.05164557,26511.414489,0.6786288, 68.3783,243.2032,245.8468,321.8509
2027.02728272,26515.363295,0.6785691, 68.3743,242.5075,245.4868,335.7315
2027.52575873,26515.986885,0.6785750, 68.3735,242.4636,245.4650,336.5873
2033.50724672,26532.242260,0.6787191, 68.3775,241.9341,245.1975,346.6074
2039.48861773,26513.189616,0.6786558, 68.3680,241.4125,244.9764,356.3610
2040.98384476,26478.352688,0.6782579, 68.3621,241.2767,244.9166,358.7025
2051.94900579,26519.351421,0.6787780, 68.3598,240.2857,244.4062, 15.9498
2061.91670909,26519.818999,0.6788355, 68.3572,239.4107,243.9928, 31.2747
2066.90035884,26517.805605,0.6789538, 68.3486,238.9756,243.7786, 38.8852
2080.35540943,26514.143745,0.6790672, 68.3336,237.7863,243.2102, 59.4481
2086.83325806,26512.585653,0.6791411, 68.3297,237.2120,242.9391, 69.3982
2088.82646543,26512.148570,0.6791767, 68.3301,237.0369,242.8518, 72.5319
2090.81956550,26511.682615,0.6792306, 68.3277,236.8622,242.7649, 75.6167
2094.80571661,26510.679755,0.6793392, 68.3178,236.5083,242.6008, 81.8462
2098.79175987,26509.697963,0.6793668, 68.3122,236.1490,242.4437, 88.1315
2121.70896776,26504.687612,0.6796406, 68.2922,234.1148,241.4665,125.1438
