Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
1748.61470047,26506.283108,0.6835565, 68.6631,267.5642,257.5380,308.6942
1755.60721803,26507.880932,0.6833432, 68.6570,266.9484,257.2004,332.9872
1763.09936783,26432.901168,0.6823155, 68.6457,266.2461,256.8902,359.5100
1768.09416975,26513.835863,0.6832412, 68.6460,265.7842,256.6367, 17.4014
1772.58934979,26506.901114,0.6831933, 68.6377,265.3671,256.4478, 33.4907
1794.56483860,26504.262102,0.6826803, 68.6039,263.3618,255.4738,111.4857
1798.06056300,26504.665820,0.6827280, 68.5950,263.0387,255.3293,123.4684
1804.05304224,26505.439363,0.6825050, 68.5876,262.4740,255.0869,143.6759
1811.04375562,26506.844757,0.6823543, 68.5724,261.8439,254.7785,166.5829
1816.53596340,26507.941540,0.6821478, 68.5681,261.3274,254.5532,183.9303
1832.51169385,26511.302403,0.6816092, 68.5475,259.8632,253.8871,231.7131
1836.50470856,26511.962421,0.6814955, 68.5403,259.5096,253.7099,242.6682
1838.50139356,26512.350284,0.6814690, 68.5366,259.3260,253.6281,248.2295
1851.97738708,26514.111282,0.6810228, 68.5268,258.1063,253.0601,283.8344
1860.96003468,26514.790692,0.6805368, 68.5244,257.2937,252.6802,306.0715
1866.44906032,26515.068363,0.6804320, 68.5174,256.8047,252.4424,319.2931
1870.44094088,26516.289666,0.6802367, 68.5200,256.4425,252.2699,328.7657
1885.90804331,26453.621791,0.6791533, 68.5039,255.0479,251.5637,  4.4718
1888.90132966,26511.848430,0.6797763, 68.5060,254.7833,251.4332, 11.1752
1901.37263537,26516.878867,0.6795791, 68.5016,253.6833,250.9110, 39.0460
1906.85978324,26514.486245,0.6796339, 68.4918,253.1999,250.6763, 51.4240
1909.85239631,26513.502130,0.6795918, 68.4891,252.9281,250.5548, 57.9880
1922.82026752,26510.092212,0.6794263, 68.4765,251.7818,249.9858, 87.2249
1926.81016952,26509.169988,0.6793578, 68.4761,251.4298,249.8092, 96.3490
1929.80252140,26508.499961,0.6793813, 68.4715,251.1697,249.6770,103.2307
1937.78194899,26506.574725,0.6794000, 68.4602,250.4493,249.3522,121.8359
1938.77941515,26506.340123,0.6793708, 68.4602,250.3594,249.3099,124.2268
1948.75287465,26504.502975,0.6792933, 68.4469,249.4750,248.8724,147.7318
1948.75291019,26504.502886,0.6792933, 68.4469,249.4750,248.8724,147.7576
1951.74485262,26504.020887,0.6792365, 68.4477,249.2043,248.7431,154.8666
1952.74204976,26503.892811,0.6792191, 68.4476,249.1158,248.6986,157.1609
1952.74206592,26503.892769,0.6792191, 68.4476,249.1158,248.6986,157.1726
1956.73118843,26503.512925,0.6792172, 68.4424,248.7653,248.5218,166.6364
1956.73120506,26503.512880,0.6792172, 68.4424,248.7653,248.5218,166.6484
1957.72861437,26503.440310,0.6792297, 68.4402,248.6769,248.4794,169.1174
2015.06376500,26509.368038,0.6787063, 68.3848,243.5679,246.0178,294.9340
2019.05164557,26510.074512,0.6786362, 68.3835,243.2095,245.8545,302.3519
2027.02728272,26511.133789,0.6785689, 68.3775,242.5146,245.4995,316.7286
2027.52575873,26511.217652,0.6785700, 68.3766,242.4707,245.4785,317.6114
2033.50724672,26512.622348,0.6785308, 68.3784,241.9412,245.2194,327.9112
2039.48861773,26517.160226,0.6786364, 68.3730,241.4205,244.9484,337.9015
2040.98384476,26519.713506,0.6786841, 68.3703,241.2879,244.8841,340.2883
2051.94900579,26496.219845,0.6784587, 68.3593,240.3192,244.4518,357.6372
2061.91670909,26511.727550,0.6788072, 68.3528,239.4179,243.9689, 12.8082
2066.90035884,26522.047897,0.6790245, 68.3456,238.9809,243.7752, 20.2199
2080.35540943,26517.723205,0.6790791, 68.3298,237.7916,243.2158, 39.9810
2086.83325806,26515.799717,0.6791414, 68.3249,237.2173,242.9461, 49.4121
2088.82646543,26515.289358,0.6791747, 68.3251,237.0422,242.8592, 52.3716
2090.81956550,26514.768069,0.6792276, 68.3226,236.8676,242.7728, 55.2763
2094.80571661,26513.689989,0.6793354, 68.3124,236.5137,242.6097, 61.1290
2098.79175987,26512.689883,0.6793610, 68.3063,236.1543,242.4537, 67.0193
2121.70896776,26507.257414,0.6796285, 68.2868,234.1195,241.4860,101.6424
2122.70525911,26507.018655,0.6796368, 68.2849,234.0297,241.4466,103.1709
2132.16967779,26505.122400,0.6796385, 68.2845,233.1837,241.0512,117.8460
2134.16201003,26504.766580,0.6796627, 68.2808,233.0079,240.9635,120.8970
2142.13110347,26503.638554,0.6797101, 68.2831,232.3018,240.6191,133.1857
2146.61354157,26503.271004,0.6798166, 68.2797,231.9057,240.4207,140.0727
2162.05109721,26503.397674,0.6799381, 68.2729,230.5349,239.7579,162.5076
2166.03451830,26503.750180,0.6799601, 68.2721,230.1845,239.5856,167.8950
2173.00512257,26504.635008,0.6801765, 68.2774,229.5727,239.2714,176.8383
2178.97945173,26505.595461,0.6802792, 68.2697,229.0413,239.0211,183.9222
2189.93139218,26507.572914,0.6805318, 68.2688,228.0778,238.5394,195.5206
2211.83091423,26511.944686,0.6812975, 68.2662,226.1459,237.5937,212.5766
2213.82158737,26512.301134,0.6814007, 68.2637,225.9700,237.5056,213.7899
2214.81690957,26512.487223,0.6814480, 68.2612,225.8817,237.4622,214.3763
2218.79812307,26513.183890,0.6815716, 68.2523,225.5290,237.2935,216.6086
2230.74090239,26514.644561,0.6821909, 68.2408,224.4670,236.7856,222.1138
2234.72181766,26514.938347,0.6822885, 68.2361,224.1086,236.6253,223.8064
2237.70737798,26515.044692,0.6824022, 68.2372,223.8424,236.4999,224.9528
2238.70260182,26515.072856,0.6824549, 68.2368,223.7536,236.4572,225.3569
2241.68808664,26515.177320,0.6826211, 68.2301,223.4855,236.3290,226.4261
2244.67355082,26515.283648,0.6827236, 68.2195,223.2163,236.2048,227.4799
2249.64949115,26515.172772,0.6828803, 68.2195,222.7733,235.9987,229.3574
2253.63033588,26515.020958,0.6831387, 68.2160,222.4157,235.8298,230.9246
2263.58246855,26514.370762,0.6834157, 68.1949,221.5084,235.4311,235.0292
2266.56846784,26514.002726,0.6835418, 68.1942,221.2391,235.3058,236.5847
2271.04709482,26513.525204,0.6837080, 68.1801,220.8309,235.1185,238.7360
2281.99583730,26511.747811,0.6840871, 68.1758,219.8430,234.6645,245.2085
2287.47056093,26510.747854,0.6841565, 68.1638,219.3400,234.4470,249.0135
2289.95919152,26510.259334,0.6841719, 68.1664,219.1149,234.3456,250.9079
2292.94562660,26509.582356,0.6842574, 68.1707,218.8462,234.2201,253.3003
2295.43439587,26508.984385,0.6843607, 68.1694,218.6206,234.1141,255.4042
2296.92767402,26508.740754,0.6844070, 68.1658,218.4842,234.0509,256.7066
2298.42096737,26508.380021,0.6844276, 68.1624,218.3481,233.9883,258.0435
2300.41204913,26507.946255,0.6844265, 68.1614,218.1687,233.9051,259.8778
2302.40319451,26507.449845,0.6844441, 68.1665,217.9921,233.8206,261.7922
2304.39450003,26506.934197,0.6845195, 68.1738,217.8159,233.7345,263.8511
2305.88778004,26506.645114,0.6846046, 68.1771,217.6825,233.6697,265.2696
2306.88338862,26506.424114,0.6846640, 68.1778,217.5927,233.6268,266.2894
2307.87904173,26506.215008,0.6847188, 68.1772,217.5022,233.5843,267.3501
2309.37274234,26505.841552,0.6847834, 68.1749,217.3658,233.5214,269.1185
2311.36410806,26505.443961,0.6848289, 68.1713,217.1833,233.4391,271.3382
2312.85767451,26505.206305,0.6848379, 68.1700,217.0469,233.3780,273.0570
2315.34672946,26504.596380,0.6848402, 68.1733,216.8223,233.2741,275.8026
2339.74577894,26500.931688,0.6858075, 68.2042,214.6372,232.2038,309.0851
2354.68742822,26500.339088,0.6864469, 68.2192,213.2962,231.5426,332.0757
2367.63834110,26539.742357,0.6877414, 68.2306,212.1282,230.9488,352.1726
2374.11456818,26445.412478,0.6870558, 68.2320,211.5371,230.6849,  2.3136
2382.08582638,26502.374957,0.6883446, 68.2179,210.7865,230.3096, 14.7179
2383.08226834,26506.454703,0.6884224, 68.2192,210.6963,230.2713, 16.2563
2385.57340355,26512.078659,0.6886268, 68.2267,210.4736,230.1718, 20.0846
2390.05759664,26514.927513,0.6891280, 68.2257,210.0636,229.9867, 26.9337
2391.05411258,26515.115084,0.6892179, 68.2211,209.9697,229.9461, 28.4551
2392.05063337,26515.234906,0.6892883, 68.2162,209.8755,229.9057, 29.9735
2402.01625585,26515.755520,0.6898542, 68.2075,208.9556,229.4921, 45.0332
2409.98916139,26516.050524,0.6903295, 68.1798,208.2084,229.1625, 56.8843
2425.43826029,26516.524221,0.6912936, 68.1526,206.7610,228.5319, 80.1683
2431.91725512,26516.517573,0.6917675, 68.1420,206.1517,228.2670, 90.0088
2438.89501845,26516.161148,0.6919586, 68.1282,205.4943,227.9814,100.9306
2440.88869896,26516.133560,0.6920898, 68.1326,205.3111,227.8991,104.0770
2442.88244822,26516.006414,0.6922702, 68.1318,205.1242,227.8181,107.2757
2444.87619351,26515.761150,0.6924337, 68.1240,204.9326,227.7386,110.4837
