11.2,-0.35456,0.39318,0.8097,-0.25313
11.3,-0.36884,0.38609,0.80939,-0.24452
11.4,-0.38292,0.37888,0.80887,-0.23569
11.5,-0.39682,0.37155,0.80816,-0.22664
11.6,-0.41051,0.36411,0.80724,-0.21739
11.7,-0.424,0.35657,0.80613,-0.20793
11.8,-0.43728,0.34892,0.80482,-0.19827
11.9,-0.45034,0.34118,0.8033,-0.1884
12,-0.46318,0.33335,0.80159,-0.17834
12.1,-0.47579,0.32543,0.79967,-0.16807
12.2,-0.48817,0.31743,0.79755,-0.15761
12.3,-0.50031,0.30936,0.79523,-0.14696
12.4,-0.5122,0.30122,0.79271,-0.13612
12.5,-0.52385,0.29302,0.78998,-0.1251
12.6,-0.53525,0.28475,0.78705,-0.1139
12.7,-0.54639,0.27644,0.78392,-0.10251
12.8,-0.55727,0.26808,0.78059,-0.090955
12.9,-0.56787,0.25969,0.77705,-0.079226
13,-0.57821,0.25126,0.77331,-0.067331
13.1,-0.58828,0.2428,0.76937,-0.055274
13.2,-0.59806,0.23432,0.76522,-0.043058
13.3,-0.60756,0.22582,0.76088,-0.030689
13.4,-0.61677,0.21732,0.75633,-0.01817
13.5,-0.62569,0.20881,0.75159,-0.0055056
13.6,-0.63431,0.2003,0.74664,0.0072983
13.7,-0.64264,0.19181,0.7415,0.020237
13.8,-0.65066,0.18333,0.73615,0.033306
13.9,-0.65838,0.17487,0.73061,0.0465
14,-0.6658,0.16644,0.72487,0.059814
14.1,-0.6729,0.15804,0.71893,0.073242
14.2,-0.67969,0.14969,0.7128,0.086778
14.3,-0.68616,0.14138,0.70648,0.10042
14.4,-0.69232,0.13312,0.69996,0.11415
14.5,-0.69816,0.12493,0.69325,0.12798
14.6,-0.70367,0.1168,0.68635,0.14189
14.7,-0.70886,0.10874,0.67926,0.15589
14.8,-0.71373,0.10075,0.67198,0.16995
14.9,-0.71827,0.092857,0.66451,0.18408
15,-0.72248,0.08505,0.65686,0.19827
15.1,-0.72637,0.077338,0.64903,0.21252
15.2,-0.72993,0.069728,0.64102,0.22681
15.3,-0.73315,0.062225,0.63282,0.24114
15.4,-0.73605,0.054836,0.62445,0.25551
15.5,-0.73862,0.047566,0.6159,0.2699
15.6,-0.74085,0.04042,0.60718,0.28431
15.7,-0.74276,0.033405,0.59829,0.29873
15.8,-0.74434,0.026526,0.58923,0.31316
15.9,-0.74559,0.019787,0.58,0.32759
16,-0.74651,0.013195,0.5706,0.342
16.1,-0.7471,0.0067541,0.56104,0.3564
16.2,-0.74737,0.00046964,0.55132,0.37078
16.3,-0.74732,-0.0056535,0.54145,0.38513
16.4,-0.74694,-0.011611,0.53142,0.39943
16.5,-0.74624,-0.017397,0.52123,0.41369
16.6,-0.74522,-0.023008,0.5109,0.4279
16.7,-0.74389,-0.02844,0.50042,0.44205
16.8,-0.74224,-0.033688,0.48979,0.45613
16.9,-0.74028,-0.038748,0.47903,0.47013
17,-0.73801,-0.043617,0.46812,0.48405
17.1,-0.73543,-0.048289,0.45709,0.49788
17.2,-0.73255,-0.052763,0.44591,0.51161
17.3,-0.72938,-0.057034,0.43462,0.52523
